model,cluster,fold,n,wape,mape,bias,pinball,coverage_90,coverage_80,width_rel
seasonal_naive,B-Y,6,256,0.23449384539493198,0.3347267044690626,0.17789965527770513,0.057678513827790136,0.84765625,0.73046875,0.9024151647724924
seasonal_naive,B-Y,7,256,0.24820628603209113,0.38891913365598973,0.04012334895136424,0.055348203209851676,0.76953125,0.61328125,0.7847511648933467
seasonal_naive,B-Z,0,704,0.18698640913429085,1.2357332104729666,0.10181304698948652,0.052379013729729876,0.6676136363636364,0.5809659090909091,0.6593677444882706
seasonal_naive,B-Z,1,704,0.1890256606855336,3.0836561582554727,0.06840317345362858,0.055106012559471784,0.6619318181818182,0.5553977272727273,0.6838460942202846
seasonal_naive,B-Z,2,704,0.17379921546658902,2.753734822761902,0.06634237584225933,0.04527385966243949,0.7855113636363636,0.6676136363636364,0.7604129482087256
seasonal_naive,B-Z,3,704,0.1813000035786714,3.1632720439010886,0.09458223046592847,0.0480093407726737,0.7642045454545454,0.6519886363636364,0.7742665853912728
seasonal_naive,B-Z,4,704,0.16698208536309386,2.80929917496105,0.07891231328875138,0.04363605140587926,0.7357954545454546,0.6463068181818182,0.7997581292016196
seasonal_naive,B-Z,5,720,0.1417786528782599,2.091308626254239,-0.0043767239701268295,0.03771004818041763,0.8097222222222222,0.6930555555555555,0.9
seasonal_naive,B-Z,6,720,0.13154699908264056,4.146994649308642,0.0019674861926192175,0.033494000195338464,0.8902777777777777,0.7319444444444444,0.8612063025045913
seasonal_naive,B-Z,7,720,0.13895942236019485,2.96918232167163,-0.025586069754996364,0.0355100630194501,0.8708333333333333,0.7152777777777778,0.8339600362872356
seasonal_naive,C-Z,0,48,0.33163741301810984,0.4134295137775657,0.2754092937233434,0.08520157072543402,1.0,1.0,1.6983565658878532
seasonal_naive,C-Z,1,48,0.5975798900299681,0.6299563950298045,0.5975798900299681,0.11041729823729855,1.0,1.0,1.3476001288802086
seasonal_naive,C-Z,2,48,0.8904364346541784,0.8318077485643225,0.8904364346541784,0.1485105548852526,0.9166666666666666,0.8958333333333334,1.1037916395255452
seasonal_naive,C-Z,3,48,0.7630528395081525,0.6886696475479454,0.7622882953865044,0.13237626678065298,0.9166666666666666,0.875,1.080781578007643
seasonal_naive,C-Z,4,48,0.4819784652043303,0.4166806726909651,0.48095711493864646,0.09150148954355257,1.0,0.9791666666666666,1.186251333571635
